voir;[(0, 0.042577126711688146), (1, 0.026125581777053986), (2, 0.02763010365281235), (3, 0.01474070333248332), (4, 0.042771375746535945), (5, 0.01748589807833815), (6, 0.0150306146360903), (7, 0.025767258746451954), (8, 0.027767920552979327), (9, 0.025877659405815427), (10, 0.030687221420289807), (11, 0.02619144682578393), (12, 0.030778300791471012), (13, 0.029673479997853462)];0.0
homonymes;[(0, 0.03272570721166109), (1, 0.02008069134772007), (2, 0.020089560536754716), (3, 0.01474070333248332), (6, 0.011036323332198136), (8, 0.021343028712268817), (9, 0.019890132811741016), (10, 0.022532285336347983), (11, 0.019072382480611487), (12, 0.02259916093748511), (13, 0.02178793932095708)];0.10473535052001297
algèbre;[(0, 0.045024423556846695)];1.146128035678238
homonymie;[(0, 0.03272570721166109), (1, 0.02008069134772007), (2, 0.020089560536754716), (3, 0.01474070333248332), (6, 0.011036323332198136)];0.4471580313422192
fichier;[(0, 0.044941088044020513), (1, 0.027627257534438204), (2, 0.02763946022090702), (3, 0.020280437824459253), (4, 0.04085904432044325), (5, 0.018490972551579516), (6, 0.015183907043027555), (7, 0.035438905132382376), (8, 0.029309647192050543), (9, 0.027314435227275953), (10, 0.030999839818433888), (11, 0.02624001435603038), (12, 0.031092198715465886), (13, 0.02997611028110206)];0.0
linear;[(0, 0.0450216371150092)];1.146128035678238
subspaces;[(0, 0.03272570721166109)];1.146128035678238
shading;[(0, 0.03272570721166109)];1.146128035678238
svg;[(0, 0.03272570721166109), (1, 0.02734834094551104), (3, 0.01474070333248332), (4, 0.03140515165416368), (5, 0.01848982819446257), (6, 0.01518373526588928), (7, 0.0353852901172667), (8, 0.029354056526325577), (9, 0.027355821460163493), (10, 0.030998272007500827), (11, 0.02624001254275278), (12, 0.031034650369621643), (13, 0.02996596270574658)];0.032184683371401235
vignette;[(0, 0.03272570721166109), (1, 0.027627257883036327), (2, 0.027639460220906586), (3, 0.020280437824459253), (5, 0.018490972551579516), (6, 0.015183907043027555), (7, 0.035438905132382376), (8, 0.029067546327244908), (9, 0.027314435227275953), (10, 0.029315179093448406), (11, 0.0262383904313237), (13, 0.02997604829022382)];0.06694678963061322
r;[(0, 0.03272570721166109), (2, 0.020089560536754716), (3, 0.01474070333248332), (5, 0.018304292951855282), (6, 0.01518373526588928), (11, 0.019072382480611487), (12, 0.02259916093748511)];0.3010299956639812
espace;[(0, 0.045024423556846695), (3, 0.01474070333248332), (6, 0.015178766954941329), (7, 0.025767258746451954), (9, 0.019890132811741016), (10, 0.029315179093448406), (11, 0.024813741696051755), (13, 0.02178793932095708)];0.24303804868629442
vectoriel;[(0, 0.045024423556846695)];1.146128035678238
dimension;[(0, 0.04502442355673061), (2, 0.020089560536754716), (3, 0.019178097192744808)];0.6690067809585756
droites;[(0, 0.04456986978235155)];1.146128035678238
plans;[(0, 0.042577126711688146), (2, 0.020089560536754716), (6, 0.011036323332198136), (8, 0.027767920552979327)];0.5440680443502757
passent;[(0, 0.03272570721166109), (6, 0.014358587697036036)];0.8450980400142568
origine;[(0, 0.042577126711688146), (3, 0.020075692292295295), (5, 0.01848982819446257), (6, 0.015183907043027555), (7, 0.03509300378291901), (8, 0.021343028712268817), (9, 0.027314435227275953), (11, 0.02619144682578393), (13, 0.02178793932095708)];0.19188552623891314
sous;[(0, 0.04502442355673061), (1, 0.02762720074960696), (2, 0.02763946022090702), (3, 0.020280437824459253), (4, 0.043204913255832464), (5, 0.018490972551579516), (6, 0.015183907043027555), (7, 0.025767258746451954), (8, 0.029362179628515218), (9, 0.027363391593886004), (10, 0.031000126417728594), (11, 0.0262383904313237), (12, 0.031091847037944292), (13, 0.02834676260027188)];0.0
espaces;[(0, 0.045024423556842816), (6, 0.015155803214479078), (8, 0.021343028712268817), (12, 0.02259916093748511)];0.5440680443502757
vectoriels;[(0, 0.045024423553372626)];1.146128035678238
linéaire;[(0, 0.045024423556846695)];1.146128035678238
branche;[(0, 0.042577126711688146), (5, 0.013440042225478602)];0.8450980400142568
mathématiques;[(0, 0.04502442355684599), (4, 0.042771375746535945), (6, 0.011036323332198136)];0.6690067809585756
intéresse;[(0, 0.042577126711688146), (3, 0.019178097192744808)];0.8450980400142568
application;[(0, 0.042577126711688146), (5, 0.01748589807833815), (8, 0.021343028712268817), (9, 0.019890132811741016), (11, 0.019072382480611487), (12, 0.02259916093748511)];0.36797678529459443
transformations;[(0, 0.042577126711688146)];1.146128035678238
linéaires;[(0, 0.04502433044527989), (6, 0.011036323332198136)];0.8450980400142568
formalisation;[(0, 0.042577126711688146)];1.146128035678238
générale;[(0, 0.04456986978235155), (2, 0.026137120858025276), (3, 0.01474070333248332), (4, 0.04085904432044325), (8, 0.021343028712268817), (11, 0.025975102634211645), (12, 0.02259916093748511)];0.3010299956639812
théories;[(0, 0.04456986978235155), (5, 0.013440042225478602)];0.8450980400142568
système;[(0, 0.03272570721166109), (1, 0.02008069134772007), (3, 0.01474070333248332), (4, 0.03140515165416368), (5, 0.018304292951855282), (6, 0.014358587697036036), (11, 0.019072382480611487), (13, 0.02834676260027188)];0.24303804868629442
équations;[(0, 0.04500918179446907), (4, 0.03140515165416368)];0.8450980400142568
systèmes;[(0, 0.042577126711688146), (4, 0.042771375746535945), (5, 0.013440042225478602), (6, 0.0150306146360903), (10, 0.022532285336347983)];0.4471580313422192
